tracklet_uid,center_label,magnitude_bin,population,mean_mag_V,vlam,vbeta,P_NEO_new,new_vdp_valid,new_vdp_reason,p_k10,valid_k10,rhoO_k10,reason_k10,p_k30,valid_k30,rhoO_k30,reason_k30
T2:001e6a20d4a45388c3c312fb3f0e8bf5,dlon-130_lat+08,V024.50_024.75,Trojans,24.50119409632711,0.1826261049242884,-0.02962877017428466,0.0010251873560430638,True,ok,0.0010798078838827314,True,525918.339063404,ok,0.0010163828280980712,True,558772.5515795245,ok
T2:0aab3c8e15ca30590978a046eb74da6d,dlon-130_lat+08,V024.75_025.00,Trojans,24.979239021662732,0.15179375038907733,-0.049413859816616085,0.0006992403895557653,True,ok,0.0007216329897720645,True,387041.1058644607,ok,0.00102364388267695,True,272767.92453391635,ok
T2:02c3a801ccda4b899730ab45debce2f0,dlon-120_lat+08,V024.50_024.75,Trojans,24.556860464262066,0.16513114291762088,-0.03887127039366132,0.0007093714211767177,True,ok,0.000743116936150946,True,623624.5843316687,ok,0.0007429377806720678,True,623775.0799061347,ok
T2:15c478da798a13360c26bb33299c3600,dlon-120_lat+08,V024.75_025.00,Trojans,24.848258664641605,0.1537149739203519,-0.014492147049588833,0.0005955632236234683,True,ok,0.0005586301748438218,True,1558609.540318171,ok,0.000576075117744777,True,1511384.7059854683,ok
T2:43fc034908e346034c7a4704b98dedcd,dlon-130_lat+08,V024.75_025.00,Trojans,24.801947573461437,0.18053301186980417,-0.0008038769457536914,0.0005325090275547015,True,ok,0.0006029035253529014,True,1658144.0180830292,ok,0.0005634490893165344,True,1774322.400070628,ok
T2:bd7f20388cba3202376e2e377226d20b,dlon-120_lat+08,V020.25_020.50,Trojans,20.421684794145225,0.15419557332086412,-0.020185959247085015,,False,missing_population_density:TNO,0.0001655260079725691,True,30933.93940414137,ok,0.0002004496036101334,True,25543.540904192036,ok
T2:4196ffa93027a849be2f4be51cb34384,dlon-130_lat+08,V020.50_020.75,Trojans,20.634139172706497,0.18720876819546725,0.02826137054253299,,False,missing_population_density:TNO,0.00034165481953874323,True,24479.14189677786,ok,0.0003500775982273646,True,23889.978628369296,ok
T2:e8b0e75add60c906cb864c335959cbab,dlon-130_lat+08,V021.75_022.00,Trojans,21.984012678569428,0.17101638852444448,-0.026221794292733476,0.00032193061281775325,True,ok,0.0003224388288757432,True,95938.35726060241,ok,0.0003524320220382994,True,87771.03528852052,ok
T2:5dfc5dffc97d921281a28e300a50d554,dlon+130_lat+08,V022.00_022.25,Trojans,22.010491635273404,0.19131519281547538,-0.0034856267131322827,0.000280438030405131,True,ok,0.00026743520817853133,True,202141.51305724223,ok,0.0002522960040192445,True,214274.4054816822,ok
T2:db88d6ce93d540105d8de6aa4f4bbdf8,dlon-130_lat+08,V022.25_022.50,Trojans,22.353034277889048,0.1775545445058483,-0.017904004061140812,0.00022934651264983955,True,ok,0.0002280394208286824,True,242986.26468169305,ok,0.0002241285644975852,True,247227.1392237506,ok
