index,delta_lon_from_antisun_deg,lat_deg,filename
144,140.0,-12.0,prob_maps_grid_dlon+140_lat-12.npz
145,-140.0,-8.0,prob_maps_grid_dlon-140_lat-08.npz
146,-130.0,-8.0,prob_maps_grid_dlon-130_lat-08.npz
147,-120.0,-8.0,prob_maps_grid_dlon-120_lat-08.npz
148,-110.0,-8.0,prob_maps_grid_dlon-110_lat-08.npz
149,-100.0,-8.0,prob_maps_grid_dlon-100_lat-08.npz
150,-90.0,-8.0,prob_maps_grid_dlon-090_lat-08.npz
151,-80.0,-8.0,prob_maps_grid_dlon-080_lat-08.npz
152,-70.0,-8.0,prob_maps_grid_dlon-070_lat-08.npz
153,-60.0,-8.0,prob_maps_grid_dlon-060_lat-08.npz
154,-50.0,-8.0,prob_maps_grid_dlon-050_lat-08.npz
155,-40.0,-8.0,prob_maps_grid_dlon-040_lat-08.npz
156,-30.0,-8.0,prob_maps_grid_dlon-030_lat-08.npz
157,-20.0,-8.0,prob_maps_grid_dlon-020_lat-08.npz
158,-10.0,-8.0,prob_maps_grid_dlon-010_lat-08.npz
159,0.0,-8.0,prob_maps_grid_dlon+000_lat-08.npz
160,10.0,-8.0,prob_maps_grid_dlon+010_lat-08.npz
161,20.0,-8.0,prob_maps_grid_dlon+020_lat-08.npz
162,30.0,-8.0,prob_maps_grid_dlon+030_lat-08.npz
163,40.0,-8.0,prob_maps_grid_dlon+040_lat-08.npz
164,50.0,-8.0,prob_maps_grid_dlon+050_lat-08.npz
165,60.0,-8.0,prob_maps_grid_dlon+060_lat-08.npz
166,70.0,-8.0,prob_maps_grid_dlon+070_lat-08.npz
167,80.0,-8.0,prob_maps_grid_dlon+080_lat-08.npz
168,90.0,-8.0,prob_maps_grid_dlon+090_lat-08.npz
169,100.0,-8.0,prob_maps_grid_dlon+100_lat-08.npz
170,110.0,-8.0,prob_maps_grid_dlon+110_lat-08.npz
171,120.0,-8.0,prob_maps_grid_dlon+120_lat-08.npz
